from	from_type	type	to	to_type
NakamuraI2022		relation	locative inversion as vP-preposing	
Saito2015		relation	Saito2015-10bi	
Saito2015		relation	Saito2015-36a	
Goldberg2005		relation	verb-identity condition on verb-stranding VP-ellipsis	
NaritaFukui2022		relation	NF5-195a	
VerstraeteD'Hertefelt2016		relation	VerstraeteD'Hertefelt2016-47e	
Kennedy1994/2008		relation	Kennedy's puzzle	
Saito2012b		relation	Saito2012b-23b	
Hirose2018		relation	Hirose2018-61a-ii	
KimuraNarita2025c		relation	Late Insertion after Ellipsis Hypothesis	
KimuraNarita2021		relation	KimuraNarita2021-11b-ii	
Saito2012b		relation	Saito2012b-45a	
Yamaguchi2024		relation	Experiencer PPs as arguments	
Ishihara2021		relation	Ishihara2021-3c	
Sawada2021		relation	multi-dimensional semantics	
NaritaFukui2022		relation	base and TO	
時枝1941		relation	文(時枝誠記)	
Fujii2016		relation	Fujii2016-57a	
Sakamoto2016a		relation	MoPositive	
Kuno1982		relation	Kuno 1982-sec1-25a	
CitkoGračanin-Yuksek2021		relation	Binarity Constraint on Merge (BiCoM)	
Aikawa1999		relation	Aikawa1999-62iii	
Rizzi2005		relation	Subj-head	
Panagiotidis2003b		relation	OHE22-Nominal-Ellipsis-n4ib	
Oshima2004		relation	Oshima2004-fn3(ii)	
Hayashishita2017		relation	comparison of deviation	
Oshima2004		relation	Oshima2004-11a	
Sato2022		relation	semantic approach to neg raising	
KimuraNarita2025c		relation	KimuraNarita2025c-16B	
Takita2018		relation	Takita2018-48a	
KimuraNarita2025d		relation	KimuraNarita2025d-3B2	
Hoji1998		relation	strict-sloppy identity (hypothesis)	
Chomsky1986		relation	Chomsky1986-114a	
Giannakidou1999b		relation	OHE22-Nominal-Ellipsis-49	
NaritaFukui2022		relation	NF4-46b	
VerstraeteD'Hertefelt2016		relation	VerstraeteD'Hertefelt2016-20	
TrotzkeVillalba2021		relation	TrotzkeVillalba2021-13a	
KimuraNarita2025d		relation	KimuraNarita2025d-2B1-ii	
Kuroda1978		relation	Case marking (Kuroda1978)	
Hirose2018		relation	Hirose2018-32	
Takahashi2008MS		relation	Takahashi2008MS-51a	
Kuno1982		relation	Kuno 1982-11b	
Hoeksema2007		relation	contrastive remnant condition	
Chomsky2021		relation	FormSequence	
Jacobson2007		relation	variable-free semantics	
Sugisaki2016		relation	Sugisaki2016-14a	
Matsui2011		relation	exhaustification-based NPI licensing	
Sugisaki2012b		relation	Sugisaki2012b-13a	
Landau2023		relation	Landau2023-4c	
Hirose2018		relation	Hirose2018-52	
Kuno1982		relation	Kuno 1982-sec-1-3	
Sag2010		relation	processing-based analysis of islands	
KimuraNarita2025c		relation	KimuraNarita2025c-62b	
Sakamoto2016a		relation	antecedent=transferred	
Chomsky1986		relation	Chomsky1986-72b	
KimuraNarita2021		relation	KimuraNarita2021-11a-ii	
Sakamoto2014		relation	OHE20-Sluicing-and-Its-Subtypes-61-ii	
KimuraNarita2025c		relation	KimuraNarita2025c-32Bi	
Kishimoto2008MS		relation	kishimoto2008MS-5a-strict	
Saito2015		relation	Saito2015-19a	
SailorThoms2014		relation	movement + deletion analysis (of ellipsis)	
Kuno1982		relation	Kuno 1982-n88iiib1	
Takita2018		relation	Takita2018-42f	
Fujii2004		relation	Fujii2004-21a	
Hirose2018		relation	Hirose2018-4	
Aikawa1999		relation	Aikawa1999-fn32dii	
IdoKubota2021		relation	derived entailment	
Salzmann2012		relation	Aelbrecht2010	
Oshima2004		relation		
HankamerSag1976		relation	syntactic deletion	
KimuraNarita2025c		relation	KimuraNarita2025c-28A	
Gutzmann2015		relation	multi-dimensional semantics	
Jayaseelan2001		relation	focus movement	
KimuraNarita2021		relation		
Sugisaki2008		relation	Sugisaki2008-1b	
Landau2023		relation	Landau2023-7a	
Chomsky1991		relation	Pollock1989	
Ishihara2021		relation	Saito2013b	
KimuraNarita2025c		relation	KimuraNarita2025c-fn1B	
KubotaLevine2022		relation	anaphoric analysis (ellipsis)	
SugisakiSnyder2006		relation	SugisakiSnyder2006-2b	
Aikawa1999		relation	Aikawa1999-37	
NaritaFukui2022		relation	comp-trace effect	
Bernardi2002		relation	Multi-Modal Type-Logical Categorial Grammar	
NaritaFukui2022		relation	Stability of {XP, YP}	
Sakamoto2019		relation	comparative deletion	
AkuzawaKubota2024		relation	Chierchia1989	
KimuraNarita2025c		relation	KimuraNarita2025c-37a	
Kuno1982		relation	Kuno 1982 24a	
KimuraNarita2025c		relation	KimuraNarita2025c-22A	
Saito2015		relation	Saito2015-15a	
Gazdar1981		relation	slash category	
Saito2012b		relation	Saito2012b-24	
KubotaIdo2025b		relation	KubotaIdo2025b-n1i	
Hendriks1995a		relation	discontinuity connective	
VerstraeteD'Hertefelt2016		relation	VerstraeteD'Hertefelt2016-17	
Kuno1982		relation	Kuno 1982-sec3-25c	
Takahashi2008MS		relation	Takahashi2008MS-39a	
KimuraNarita2021		relation	KimuraNarita2021-5b	
NaritaFukui2022		relation	NF4-134c	
Landau2023		relation	Landau2023-11B	
NaritaFukui2022		relation	NF5-223a	
Aikawa1999		relation	Aikawa1999-fn32cii	
Saito2015		relation	Saito2015-3	
HiroseNawata2017		relation	HiroseNawata2017-27a	
Kuno1982		relation	Kuno 1982-21a	
Takita2024KLS		relation	Takita2024KLS-21b	
NaritaFukui2022		relation	NF4-137	
AbeilleEA2014		relation	Sign-Based Construction Grammar (SBCG)	
Sugisaki2016		relation	Sugisaki2016-36bii-sloppy	
Saito2015		relation	Saito2015-32a	
Kennedy2003		relation	Binding Condition B	
Sugisaki2012b		relation	Sugisaki2012b-7a	
Kishimoto2016		relation	subject-orientation of zibun	
Fujii2016		relation	Fujii2016-i	
Rizzi2017		relation	Rizzi2017-3a	
Bar-Hillel1953		relation	AB grammar	
NaritaFukui2022		relation	NF5-228a	
Takita2018		relation	Takita2018-42a	
Chomsky1986		relation	Chomsky1986-111	
Takita2018		relation	Takita2018-26f	
Chomsky1986		relation	Chomsky1986-49b'	
Hirose2018		relation	Hirose2018-65-i	
Kroch1989		relation	pragmatic account of islands	
Krifka1995		relation	entailment-based NPI licensing	
Saito2015		relation	Saito2015-30	
Johnson2000		relation	across-the-board movement (ATB movement)	
Landau2023		relation	Landau2023-1	
Aikawa1999		relation	Aikawa1999-65i	
Rizzi2017		relation	Rizzi2017-27b	
HiroseNawata2017		relation	HiroseNawata2017-11b	
TrotzkeVillalba2021		relation	TrotzkeVillalba2021-21c	
Chomsky1986		relation	Chomsky1986-48a'	
YoshidaEA2015		relation	OHE20-Sluicing-and-Its-Subtypes-48	
Salzmann2012		relation	Merchant2001	
Kuno1982		relation	Kuno 1982-9	
AkuzawaKubota2020		relation	argument against defective tense	
Hirose2018		relation	Direct vs. Indirect Discourse = Public vs. Private Expressions	
MartinPollard2014		relation	Linear Categorial Grammar	
Kawahara2026b		relation	AIは研究不正を助長する	
Lee2021		relation	KubotaLevine2020	
Landau2023		relation	Landau2023-30	
Hirose2018		relation	Hirose2018-39-ii	
DediuLevinson2018		relation	Deliberate burials require language-based communication	
Aikawa1999		relation	Aikawa1999-21b	
Sugisaki2012b		relation	Sugisaki2012b-6b	
Sugisaki2016b		relation	Sugisaki2016b-7aiv	
KubotaIdo2025b		relation	KubotaIdo2025b-9B1	
KimuraNarita2021		relation	KimuraNarita2021-4a	
KimuraNarita2025d		relation	KimuraNarita2025d-15B1	
KimuraNarita2025d		relation	KimuraNarita2025d-19b	
BerwickChomsky2016		relation	Only homo sapiens has Merge	
Aelbrecht2010		relation	OHE16-Movement-and-Islands-49a	
Sawada2019		relation	scalar model of NPI licensing	
Carpenter1997		relation	Type-Logical Grammar	
Kubota2015		relation	Hybrid Type-Logical Categorial Grammar (H-TLCG)	
Aikawa1999		relation	Aikawa1999-61bii	
Morin2008		relation	Morin2008-1b	
Rizzi2016mon		relation	1-Merge/concatenation	
Saito2012b		relation	Saito2012b-1c	
NaritaFukui2022		relation	NF5-214a	
Crysmann2003		relation	Head-Driven Phrase Structure Grammar (HPSG)	
LevinPrince1986		relation	discourse structure	
Sakamoto2022		relation	semantic approach to neg raising	
AkuzawaKubota2024		relation	Bach1979	
Rizzi1997		relation	Criteria	
Fukui1999b		relation	uniqueness parameter	
Chomsky1986		relation	Chomsky1986-61a	
Sugisaki2012b		relation	Sugisaki2012b-13b	
Saito2012b		relation	Saito2012b-11c	
Saito2015		relation	Saito2015-36b	
Takahashi2020		relation	sloppy reading	
Takita2024KLS		relation	Takita2024KLS-20b-ii	
NaritaFukui2022		relation	ADC	
VerstraeteD'Hertefelt2016		relation	VerstraeteD'Hertefelt2016-15	
BresnanKaplanPetersZaenen1982		relation	Lexical Functional Grammar (LFG)	
KimuraNarita2023		relation	KimuraNarita2023-3c-ii	
HiroseNawata2017		relation	HiroseNawata2017-4c	
NaritaFukui2022		relation	NF5-n11i	
NaritaFukui2022		relation	Transfer-NF	
Aikawa1999		relation	Aikawa1999-40b	
NaritaFukui2022		relation	phasehood of TP	
Takita2024KLS		relation	Takita2024KLS-20a-i	
HiroseNawata2017		relation	HiroseNawata2017-28ii	
Sag1997		relation	Construction Grammar	
Sugisaki2016		relation	Sugisaki2016-52bii-sloppy	
PullumGazdar1982		relation	context-free grammar	
Kobayashi2024		relation	Kobayashi2024-1	
Saito2004a		relation	cleft analysis of sluicing	
Steedman2012		relation	Combinatory Categorial Grammar (CCG)	
Hirose2018		relation	Hirose2018-29	
Sugisaki2016b		relation	Sugisaki2016b-27b	
Fujii2006		relation	defective tense	
Anderbois2018OHE		relation	OHE10-ellipsis-in-inquisitive-semantics-8	
Kobayashi2024		relation	Kobayashi2024-16	
Otsu1999		relation	Otsu1999-31i	
NaritaFukui2022		relation	No special feature involved in focus-movement	
Sakamoto2016a		relation	phasevPCP	
KimuraNarita2025c		relation	KimuraNarita2025c-69bii	
KimuraNarita2021		relation	KimuraNarita2021-5d	
Aikawa1999		relation	Aikawa1999-47c	
Takita2018		relation	Takita2018-39g	
Aikawa1999		relation	Aikawa1999-31a	
FarkasBruce2010		relation	table model (dynamic semantics)	
Oshima2004		relation	Oshima's 2004 Revised Subjecthood Condition on Zibun	
KimuraNarita2025d		relation	KimuraNarita2025d-22a	
Ishihara2021		relation	Ishihara2021-17ii	
HiroseNawata2017		relation	HiroseNawata2017-36	
Chomsky1986		relation	Chomsky1986-133a	
Aikawa1999		relation	Aikawa1999-61bi	
Saito2012b		relation	Saito2012b-6	
KimuraNarita2023		relation	KimuraNarita2023-2b'-ii	
NaritaFukui2022		relation	(non-)obligatory SAI	
Aikawa1999		relation	Aikawa1999-59a	
Anderbois2018OHE		relation	OHE10-ellipsis-in-inquisitive-semantics-35a	
KimuraNarita2023		relation	KimuraNarita2023-2a-i	
VerstraeteD'Hertefelt2016		relation	VerstraeteD'Hertefelt2016-43	
Otsu1999		relation	Otsu1999-31ii	
Yamaguchi2024		relation	Yamaguchi2024-22a	
KimuraNarita2025c		relation	KimuraNarita2025c-20B	
Hayashishita2009		relation	compositional semantics	
FujiiEA2023		relation	finite raising	
Ishihara2021		relation	Ishihara2021-7Bbii	
Sugisaki2016		relation	Sugisaki2016-14bi-strict	
NaritaFukui2022		relation	NF5-58A2	
Jacobson1999		relation	type-raising	
VerstraeteD'Hertefelt2016		relation	VerstraeteD'Hertefelt2016-4	
SaitoLinMurasugi2008		relation	OHE22-Nominal-Ellipsis-59c	
TanakaH2023		relation	argument ellipsis	
Kuroda1986a		relation	Counter Equi NP Deletion	
NaritaFukui2022		relation	DM2	
NaritaFukui2022		relation	no specifier-of	
Saito2015		relation	Saito2015-29a	
Sugisaki2016b		relation	Sugisaki2016b-22	
NaritaFukui2022		relation	NF4-47j	
KimuraNarita2025d		relation	KimuraNarita2025d-2A2	
Barros2013b		relation	OHE10-ellipsis-in-inquisitive-semantics-16a	
NaritaFukui2022		relation	NF3-51	
Aikawa1999		relation	Aikawa1999-8-iii	
TanakaT2025		relation	generative grammar natural science	
YamaizumiTanaka2025		relation	Cognitive Linguistics	
PollardSag1983		relation	nonconfigurational analysis (Binding)	
Takita2018		relation	Takita2018-26g	
Saito2015		relation	Saito2015-6a	
Landau2023		relation	Landau2023-8A	
Chomsky1986		relation	Chomsky1986-118f	
Kuroda1983		relation	Kuroda1978	
NaritaFukui2022		relation	NF5-n11ii	
Hirose2018		relation	Hirose2018-26-i	
Chomsky1986		relation	Chomsky1986-9	
Sakamoto2016a		relation		
Takita2024KLS		relation	Takita2024KLS-13bii	
Ogihara1999		relation	Ogihara1999-14	
Kuno1982		relation	Kuno 1982-sec3-8	
Takita2018		relation	Takita2018-42e	
KimuraNarita2025c		relation	KimuraNarita2025c-61aii	
Saito2012b		relation	Saito2012b-53	
KimuraNarita2025c		relation	KimuraNarita2025c-41	
KimuraNarita2025c		relation	KimuraNarita2025c-69ci	
Oshima2004		relation	Oshima2004-19a	
NaritaFukui2022		relation	NF4-145e	
Morin2008		relation	Morin2008-3e	
Sugisaki2008		relation	Sugisaki2008-6a	
Saito2012b		relation	Saito2012b-15	
KimuraNarita2025c		relation	KimuraNarita2025c-57A	
KimuraNarita2021		relation	KimuraNarita2021-11b-i	
Winter2001		relation	boolean semantics	
Takahashi2008MS		relation	Takahashi2008MS-38a	
Takita2018		relation	Takita2018-20b	
KubotaLevine2015		relation	KLM overgeneration (coordination)	
Chomsky1986		relation	Chomsky1986-22c	
Maeda2013		relation	OHE22-Nominal-Ellipsis-86a	
NaritaFukui2022		relation	no checking-Merge	
NaritaFukui2022		relation	NF4-141b	
KimuraNarita2021		relation	KimuraNarita2021-3d1Q	
Chomsky1986		relation	Chomsky1986-37	
Takita2024KLS		relation	Takita2024KLS-18aiii	
Saito2015		relation	Saito2015-46b	
KubotaIdo2025b		relation	KubotaIdo2025b-11B	
NaritaFukui2022		relation	NF5-14	
SaitoLinMurasugi2008		relation	OHE22-Nominal-Ellipsis-59a	
MurasugiSugisaki2008MS		relation	subject-orientation of zibun	
Kuno1982		relation	Kuno 1982-sec3-21b	
NaritaFukui2022		relation	NF5-32A	
Saito2015		relation	Saito2015-42a	
BonamiGodardMarandin1999		relation	Linearization-based HPSG	
SugisakiMurasugi2016		relation	SugisakiMurasugi2016-27b	
Yamaguchi2024		relation	Yamaguchi2024-12a	
Saito2012b		relation	Saito2012b-4c	
Merchant2004a		relation	Merchant2001	
NaritaFukui2022		relation	NF3-28bi	
KennedyStanley2008		relation	parasitic scope	
NaritaFukui2022		relation	matrixTransfer	
HiroseNawata2017		relation	HiroseNawata2017-3a	
Saito2012b		relation	Saito2012b-33b	
Kroch1989a		relation	Principles and Parameters Model	
Kuno1982		relation	Kuno 1982-21b	
LevineHukari2006		relation	Head-Driven Phrase Structure Grammar (HPSG)	
KimuraNarita2021		relation	@=KimuraNarita2021-22A-ii	
Sakamoto2016a		relation	AE-ex2	
KimuraNarita2021		relation	KimuraNarita2021-1A2	
Sakamoto2022		relation	sakamoto2022_14	
NaritaFukui2022		relation	no movement of indirect questions	
Oshima2004		relation	Oshima2004-3	
Chomsky1986		relation	Chomsky1986-34	
HinrichsNakazawa1994		relation	Head-Driven Phrase Structure Grammar (HPSG)	
NaritaFukui2022		relation	Symmetrizing Syntax	
Barros2013b		relation	OHE10-ellipsis-in-inquisitive-semantics-17c	
Landau2023		relation	Landau2023-28B	
Kimura2010		relation	non-constituent deletion	
VerstraeteD'Hertefelt2016		relation	VerstraeteD'Hertefelt2016-47a	
Muskens2003		relation	Lambda Grammar	
Kaufmann2013		relation	Causal Premise Semantics	
KennedyMerchant2000a		relation	Mainstream Generative Grammar	
NaritaFukui2022		relation	NF5-179	
NaritaFukui2022		relation	NF5-28	
Landau2023		relation	Landau2023-8B'	
NaritaFukui2022		relation	local instability-NF	
Morgan1973		relation	syntactic identity condition (ellipsis)	
いのほた言語学チャンネル:392		relation	ワタシ専用即席エコーチェンバー問題	
Saito2012b		relation	Saito2012b-34i	
Rizzi2017		relation	Rizzi2017-35b	
Chomsky1986		relation	Chomsky1986-83	
Chaves2005		relation	Linearization-Based Ellipsis (LBE)	
VerstraeteD'Hertefelt2016		relation	VerstraeteD'Hertefelt2016-26	
Sakamoto2016a		relation	sakEx33a	
Hirose2018		relation	Hirose2018-38-i	
KimuraNarita2021		relation	KimuraNarita2021-fn2iii	
Morin2008		relation	Morin2008-30c	
MillerPullum2013		relation	anaphoric analysis (ellipsis)	
Sugisaki2016b		relation	Sugisaki2016b-4a	
KimuraNarita2025c		relation	KimuraNarita2025c-53Bi	
Kuno1982		relation	Kuno 1982-4c	
Yamaguchi2024		relation	Yamaguchi2024-11a-ii	
Saito2012b		relation	Saito2012b-42	
YatabeTam2019		relation	Head-Driven Phrase Structure Grammar (HPSG)	
Saito2015		relation	Saito2015-24ai	
VerstraeteD'Hertefelt2016		relation	VerstraeteD'Hertefelt2016-41bi	
Kobayashi2024		relation	adjunct-inclusive interpretation with null adjuncts	
Hirose2018		relation	Hirose2018-63-iii	
Sato2019		relation	strict-sloppy identity (hypothesis)	
craenenbroeck2010a		relation	island evasion approach	
Otsu1999		relation	Otsu1999-29ii	
Sugisaki2016		relation	Sugisaki2016-52bi-strict	
Kuno1982		relation	Kuno 1982-sec3-17d	
Sawada2009		relation	crisp judgment	
Hirose2018		relation	Hirose2018-46a	
Takita2018		relation	Takita2018-31b	
KimuraNarita2023		relation	KimuraNarita2023-1b	
Rizzi2017		relation	Rizzi2017-44	
Kubota2014		relation	Hybrid Type-Logical Categorial Grammar (H-TLCG)	
Sakamoto2022		relation	Horn1975_283	
Morin2008		relation	Morin2008-2c	
Mouret2006		relation	direct analysis	
Landau2023		relation	Landau2023-10a	
Aikawa1999		relation	Aikawa1999-58bii	
Takita2018		relation	Takita2018-42i	
VerstraeteD'Hertefelt2016		relation	VerstraeteD'Hertefelt2016-25	
Hirose2018		relation	Hirose2018-41i	
Saito2015		relation	Saito2015-40aii	
NaritaFukui2022		relation	no HIT	
Takita2018		relation	Takita2018-fn17b	
VarlokostaHornstein1993		relation	defective tense	
Chomsky2021		relation	Markovian Gap	
Hirose2018		relation	Hirose2018-2	
Kuno1982		relation	Kuno 1982-sec1-23a	
OtaniWhitman1991		relation	Kishimoto2008MS-1b-strict	
AkuzawaKubota2020		relation	control	
Kuno1982		relation	Kuno 1982-n2ii	
Saito2012b		relation	Saito2012b-52a	
Sugisaki2016b		relation	Sugisaki2016b-6a	
Steedman2000		relation	Combinatory Categorial Grammar (CCG)	
Maeda2013		relation	OHE22-Nominal-Ellipsis-83c	
Ishihara2021		relation	Ishihara2021-n7i-i	
BeaversSag2004		relation	Optional Quantifier Merger	
Saito2017b		relation	LF-copy	
Takita2018		relation	Takita2018-30c	
Giannakidou2001		relation	polarity	
KimuraNarita2021		relation	KimuraNarita2021-3b2	
Kishimoto2008MS		relation	Kishimoto2008MS-29c	
NaritaFukui2022		relation	No two valued Fs in an F-equilibrium	
NaritaFukui2022		relation	NF4-30a	
Aikawa1999		relation	Aikawa1999-50aii	
Ishihara2021		relation	Ishihara2021-18a	
Takita2018		relation	Takita2018-26a	
Mueller2010		relation	Condition on Extraction Domains (CED)	
Fujii2004		relation	Fujii2004-25a1	
AoiShirashiB.HemforthA.Abeillé2016		relation	corpus evidence	
Kuno1982		relation	Kuno 1982-sec3-25d	
NaritaFukui2022		relation	NF5-35A	
Chomsky2024		relation		
Oshima2004		relation	Oshima2004-4a	
KubotaLevine2020		relation	Type-Logical Grammar	
AkuzawaKubota2024		relation	AkuzawaKubota2020	
HiroseNawata2017		relation	HiroseNawata2017-23ii	
Bekki2014		relation	proof-theoretic semantics	
KitagawaKuroda1992		relation	A-movement	
AoyagiIshii1994		relation	NPI movement	
Anderbois2018OHE		relation	OHE10-ellipsis-in-inquisitive-semantics-42	
Hirose2018		relation	Hirose2018-7a	
Schachter1978		relation	anaphoric analysis (ellipsis)	
